run_id,profile,git_sha,env_hash,timestamp,seed,method,N,M,Delta_min,B,K,lambda_out,lambda_tw,tw_family,tw_mode,on_time_pct,total_tardiness_min,total_energy,risk_mean,risk_max_route,runtime_edge_s,runtime_solve_s,runtime_total_s,incumbent_obj,best_bound,gap_pct,feasible_flag,claim_regime
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,ortools_main,10,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,3000.7951129511102,0.0,0.0,0.02802229999906558,15.018334420001338,15.046356720000404,3000795.11295111,2607100.0000000084,13.119693219039041,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,pyvrp_baseline,10,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,3227.7280881459455,0.0,0.0,0.02802229999906558,15.008653118000439,15.036675417999504,3227728.0881459457,2607100.0000000084,19.22801646226759,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_highs_exact_bound,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,highs_exact_bound,10,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,3227.7280881459455,0.0,0.0,0.02802229999906558,15.033041360000425,15.06106365999949,3227728.0881459457,2607100.0000000084,19.22801646226759,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,ortools_main,10,3,10,4,10,1.0,1.0,A,soft,100.0,0.0,3000.7951129511102,0.0,0.0,0.028945599000508082,15.001707892999548,15.030653492000056,3000795.11295111,2644109.4977907105,11.88637016972544,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,pyvrp_baseline,10,3,10,4,10,1.0,1.0,A,soft,100.0,0.0,3227.7280881459455,0.0,0.0,0.028945599000508082,15.012428392999936,15.041373992000445,3227728.0881459457,2644109.4977907105,18.08140507555809,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_highs_exact_bound,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,highs_exact_bound,10,3,10,4,10,1.0,1.0,A,soft,100.0,0.0,3227.7280881459455,0.0,0.0,0.028945599000508082,15.02484963399911,15.053795232999619,3227728.0881459457,2644109.4977907105,18.08140507555809,1,bound_gap
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,ortools_main,10,3,10,7,10,0.5,1.0,A,soft,100.0,0.0,2985.3487088056177,0.15833333333333333,0.38,0.02565330000106769,15.003602261998822,15.02925556199989,3935348.708805618,3295907.8085322496,16.248646500946016,1,bound_gap
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,pyvrp_baseline,10,3,10,7,10,0.5,1.0,A,soft,100.0,0.0,3289.525000960955,0.15,0.2571428571428572,0.02565330000106769,15.008131671000228,15.033784971001296,4189525.0009609554,3295907.8085322496,21.329797345134253,1,bound_gap
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_highs_exact_bound,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,highs_exact_bound,10,3,10,7,10,0.5,1.0,A,soft,100.0,0.0,3297.05223153294,0.17500000000000002,0.2625,0.02565330000106769,15.021643710999342,15.04729701100041,4347052.23153294,3295907.8085322496,24.180625559909952,1,bound_gap
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_ortools_main,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,ortools_main,10,3,10,7,10,1.0,1.0,A,soft,100.0,0.0,2985.3487088056177,0.15833333333333333,0.38,0.027322596999511006,15.00156297400099,15.028885571000501,4885348.708805617,4460273.078557971,8.701029457354123,1,bound_gap
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_pyvrp_baseline,main_table,981d620,188019d3daf4,2026-02-18T22:03:52.310097+00:00,1,pyvrp_baseline,10,3,10,7,10,1.0,1.0,A,soft,100.0,0.0,3289.5250009609545,0.15,0.2571428571428572,0.027322596999511006,15.005661185999998,15.032983782999509,5089525.000960954,4460273.078557971,12.363666988258714,1,bound_gap
