run_id,uav_id,route_node_sequence,route_energy,route_risk_mean,route_tardiness_min,route_time_s
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,2,0->4->5->7->8->9->2->3->6->1->10->0,3000.7951129511102,0.0,0.0,854.6990322344863
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,0,0->8->7->5->4->0,1831.004873779423,0.0,0.0,404.41238465951807
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,1,0->10->1->6->3->2->9->0,1396.7232143665233,0.0,0.0,485.5561595797117
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_highs_exact_bound,0,0->8->7->5->4->0,1831.004873779423,0.0,0.0,404.41238465951807
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_highs_exact_bound,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_highs_exact_bound,2,0->10->1->6->3->2->9->0,1396.7232143665233,0.0,0.0,485.5561595797117
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,2,0->4->5->7->8->9->2->3->6->1->10->0,3000.7951129511102,0.0,0.0,854.6990322344863
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,0,0->8->7->5->4->0,1831.004873779423,0.0,0.0,404.41238465951807
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,1,0->10->1->6->3->2->9->0,1396.7232143665233,0.0,0.0,485.5561595797117
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_highs_exact_bound,0,0->4->5->7->8->0,1831.004873779423,0.0,0.0,379.65672389682743
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_highs_exact_bound,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_highs_exact_bound,2,0->10->1->6->3->2->9->0,1396.7232143665233,0.0,0.0,485.5561595797117
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,1,0->8->10->4->3->0,1416.587649062036,0.38,0.0,329.3516519137292
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,2,0->6->1->9->2->7->5->0,1568.7610597435819,0.0,0.0,493.44167950454624
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,0,0->2->9->7->5->0,984.9990545338394,0.0,0.0,315.065478983572
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,1,0->8->10->4->3->6->1->0,2304.525946427115,0.2571428571428572,0.0,545.2925422628348
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_highs_exact_bound,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_highs_exact_bound,1,0->8->3->4->10->5->2->9->0,1924.6146600994775,0.2625,0.0,582.6086879522342
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twA_highs_exact_bound,2,0->6->1->7->0,1372.437571433462,0.0,0.0,271.3890315937714
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_ortools_main,1,0->8->10->4->3->0,1416.587649062036,0.38,0.0,329.3516519137292
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_ortools_main,2,0->6->1->9->2->7->5->0,1568.7610597435819,0.0,0.0,493.44167950454624
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_pyvrp_baseline,0,0->8->10->4->3->6->1->0,2304.525946427115,0.2571428571428572,0.0,545.2925422628348
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_pyvrp_baseline,1,0->2->9->7->5->0,984.9990545338394,0.0,0.0,315.065478983572
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_highs_exact_bound,0,0->9->7->2->5->0,1053.3067471890392,0.0,0.0,321.89624824909197
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_highs_exact_bound,1,0->8->10->4->3->1->6->0,2309.1289793599044,0.2571428571428572,0.0,544.3038743660193
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twA_highs_exact_bound,2,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N20_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N20_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
