comparison_id,method_a,method_b,metric,test_name,p_value,p_value_adj,correction_method,effect_direction,effect_size,ci_low,ci_high,n_pairs,significant_flag
highs_exact_bound_vs_ortools_main_on_time_pct,highs_exact_bound,ortools_main,on_time_pct,wilcoxon_signed_rank,1.0,1.0,holm-bonferroni,tie,0.0,0.0,0.0,4,0
highs_exact_bound_vs_ortools_main_total_tardiness_min,highs_exact_bound,ortools_main,total_tardiness_min,wilcoxon_signed_rank,1.0,1.0,holm-bonferroni,tie,0.0,0.0,0.0,4,0
highs_exact_bound_vs_ortools_main_total_energy,highs_exact_bound,ortools_main,total_energy,wilcoxon_signed_rank,0.125,1.0,holm-bonferroni,b_better,1.0,226.9329751948353,377.0870177433262,4,0
highs_exact_bound_vs_ortools_main_risk_mean,highs_exact_bound,ortools_main,risk_mean,wilcoxon_signed_rank,1.0,1.0,holm-bonferroni,tie,0.0,-0.008333333333333331,0.01666666666666669,4,0
highs_exact_bound_vs_ortools_main_runtime_total_s,highs_exact_bound,ortools_main,runtime_total_s,wilcoxon_signed_rank,0.85009765625,1.0,holm-bonferroni,b_better,0.3333333333333333,-14.0311214379999,0.06836339750043408,12,0
highs_exact_bound_vs_pyvrp_baseline_on_time_pct,highs_exact_bound,pyvrp_baseline,on_time_pct,wilcoxon_signed_rank,1.0,1.0,holm-bonferroni,tie,0.0,0.0,0.0,4,0
highs_exact_bound_vs_pyvrp_baseline_total_tardiness_min,highs_exact_bound,pyvrp_baseline,total_tardiness_min,wilcoxon_signed_rank,1.0,1.0,holm-bonferroni,tie,0.0,0.0,0.0,4,0
highs_exact_bound_vs_pyvrp_baseline_total_energy,highs_exact_bound,pyvrp_baseline,total_energy,wilcoxon_signed_rank,0.5,1.0,holm-bonferroni,b_better,1.0,0.0,72.91072558798942,4,0
highs_exact_bound_vs_pyvrp_baseline_risk_mean,highs_exact_bound,pyvrp_baseline,risk_mean,wilcoxon_signed_rank,1.0,1.0,holm-bonferroni,tie,1.0,0.0,0.025000000000000022,4,0
highs_exact_bound_vs_pyvrp_baseline_runtime_total_s,highs_exact_bound,pyvrp_baseline,runtime_total_s,wilcoxon_signed_rank,0.85009765625,1.0,holm-bonferroni,b_better,0.3333333333333333,-14.041796952998993,0.0626484430003984,12,0
ortools_main_vs_pyvrp_baseline_on_time_pct,ortools_main,pyvrp_baseline,on_time_pct,wilcoxon_signed_rank,0.125,1.0,holm-bonferroni,b_better,-1.0,-40.0,0.0,8,0
ortools_main_vs_pyvrp_baseline_total_tardiness_min,ortools_main,pyvrp_baseline,total_tardiness_min,wilcoxon_signed_rank,0.125,1.0,holm-bonferroni,b_better,1.0,0.0,25.3616082032965,8,0
ortools_main_vs_pyvrp_baseline_total_energy,ortools_main,pyvrp_baseline,total_energy,wilcoxon_signed_rank,0.0078125,0.1171875,holm-bonferroni,a_better,-1.0,-818.5110560078256,-226.9329751948353,8,0
ortools_main_vs_pyvrp_baseline_risk_mean,ortools_main,pyvrp_baseline,risk_mean,wilcoxon_signed_rank,0.03125,0.40625,holm-bonferroni,b_better,1.0,0.0,0.01884057971014494,8,0
ortools_main_vs_pyvrp_baseline_runtime_total_s,ortools_main,pyvrp_baseline,runtime_total_s,wilcoxon_signed_rank,0.01220703125,0.1708984375,holm-bonferroni,a_better,-0.8333333333333334,-0.010351250500207243,-0.0043138105002071825,12,0
