run_id,profile,git_sha,env_hash,timestamp,seed,method,N,M,Delta_min,B,K,lambda_out,lambda_tw,tw_family,tw_mode,on_time_pct,total_tardiness_min,total_energy,risk_mean,risk_max_route,runtime_edge_s,runtime_solve_s,runtime_total_s,incumbent_obj,best_bound,gap_pct,feasible_flag,claim_regime
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twB_ortools_main,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,ortools_main,10,3,10,4,10,0.5,1.0,B,soft,60.0,5.945305766933964,3000.7951129511102,0.0,0.0,0.024372199999561417,15.009237378000762,15.033609578000323,3006740.418718044,2640893.284839339,12.167566298745799,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twB_pyvrp_baseline,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,pyvrp_baseline,10,3,10,4,10,0.5,1.0,B,soft,100.0,0.0,3227.728088145946,0.0,0.0,0.024372199999561417,15.01396533299885,15.038337532998412,3227728.088145946,2640893.284839339,18.181048318840684,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twB_highs_exact_bound,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,highs_exact_bound,10,3,10,4,10,0.5,1.0,B,soft,80.0,1.825359316051258,3227.728088145946,0.0,0.0,0.024372199999561417,15.055021951999151,15.079394151998713,3229553.447461997,2640893.284839339,18.22729278827286,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twB_ortools_main,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,ortools_main,10,3,10,4,10,1.0,1.0,B,soft,60.0,5.945305766933964,3000.7951129511102,0.0,0.0,0.02633279800102173,15.003716514000189,15.03004931200121,3006740.418718044,2623949.0,12.73110962073844,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twB_pyvrp_baseline,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,pyvrp_baseline,10,3,10,4,10,1.0,1.0,B,soft,100.0,0.0,3227.728088145946,0.0,0.0,0.02633279800102173,15.008040926000831,15.034373724001853,3227728.088145946,2623949.0,18.706008426278732,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twB_highs_exact_bound,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,highs_exact_bound,10,3,10,4,10,1.0,1.0,B,soft,90.0,0.3385471279770106,3227.7280881459455,0.0,0.0,0.02633279800102173,15.030834805998893,15.057167603999915,3228066.6352739227,2623949.0,18.71453422530292,1,bound_gap
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twB_ortools_main,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,ortools_main,10,3,10,7,10,0.5,1.0,B,soft,80.0,0.4950354760237625,2985.348708805618,0.15833333333333333,0.38,0.04184689999965485,15.003686567000841,15.045533467000496,3935843.744281642,3267577.000000001,16.978995806237506,1,bound_gap
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twB_pyvrp_baseline,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,pyvrp_baseline,10,3,10,7,10,0.5,1.0,B,soft,100.0,0.0,3322.2948530025346,0.15833333333333333,0.2714285714285714,0.04184689999965485,15.009077275999516,15.050924175999171,4272294.853002535,3267577.000000001,23.51705318972604,1,bound_gap
main_table_seed1_N10_M3_D10_B7_K10_lo0.5_lt1.0_twB_highs_exact_bound,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,highs_exact_bound,10,3,10,7,10,0.5,1.0,B,soft,80.0,7.768912099659306,3280.5755771827576,0.17500000000000002,0.3,0.04184689999965485,15.04100808000112,15.082854980000775,4338344.489282416,3267577.000000001,24.681476815123215,1,bound_gap
main_table_seed1_N10_M3_D10_B7_K10_lo1.0_lt1.0_twB_ortools_main,main_table,981d620,188019d3daf4,2026-02-18T22:14:33.496406+00:00,1,ortools_main,10,3,10,7,10,1.0,1.0,B,soft,80.0,0.4950354760237625,2985.348708805618,0.15833333333333333,0.38,0.03162290000000212,15.000992961999145,15.032615861999147,4885843.744281642,4317577.000000001,11.63088248466269,1,bound_gap
