run_id,profile,git_sha,env_hash,timestamp,seed,method,N,M,Delta_min,B,K,lambda_out,lambda_tw,tw_family,tw_mode,on_time_pct,total_tardiness_min,total_energy,risk_mean,risk_max_route,runtime_edge_s,runtime_solve_s,runtime_total_s,incumbent_obj,best_bound,gap_pct,feasible_flag,claim_regime
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,8168.343831066015,0.5325301204819277,0.6387096774193549,1.120893582000008,25.01180587899989,26.132699460999905,8434608.891306978,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,10,4,10,0.5,1.0,A,soft,,,,,,1.120893582000008,25.02139251999961,26.142286101999616,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,10,4,10,1.0,1.0,A,soft,100.0,0.0,10448.7409135949,0.4963855421686746,0.9533333333333333,1.2141479599999911,25.00416892400017,26.21831688400016,10945126.455763577,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,10,4,10,1.0,1.0,A,soft,,,,,,1.2141479599999911,25.043364911000022,26.257512871000017,,,,0,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,5,4,10,0.5,1.0,A,soft,92.5,1.2123398560098964,8913.430004949012,0.3662650602409638,0.7571428571428571,1.162508311000238,25.004675683000187,26.167183994000425,9096563.74740935,,,1,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,5,4,10,0.5,1.0,A,soft,,,,,,1.162508311000238,25.025805047000176,26.18831335800041,,,,0,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,5,4,10,1.0,1.0,A,soft,98.75,0.0739964236318087,9962.063505852708,0.3481927710843372,0.4258064516129032,1.2938432010000724,25.003729917999863,26.29757311899993,10310256.350933468,,,1,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,5,4,10,1.0,1.0,A,soft,,,,,,1.2938432010000724,25.01985365900009,26.313696860000164,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,10,7,10,0.5,1.0,A,soft,100.0,0.0,9047.062735903624,0.1433734939759036,0.2575757575757575,1.3222554150001995,25.00268226399976,26.32493767899996,9118749.482891576,,,1,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,10,7,10,0.5,1.0,A,soft,,,,,,1.3222554150001995,25.02200498600041,26.34426040100061,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo1.0_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,10,7,10,1.0,1.0,A,soft,100.0,0.0,12144.637415986874,0.0879518072289156,0.1375,1.2597246389996144,25.002058931999727,26.26178357099934,12232589.223215789,,,1,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo1.0_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,10,7,10,1.0,1.0,A,soft,,,,,,1.2597246389996144,25.01871118100007,26.27843581999969,,,,0,scalability_only
scalability_seed1_N80_M3_D5_B7_K10_lo0.5_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,5,7,10,0.5,1.0,A,soft,100.0,0.0,9281.012538575204,0.036144578313253,0.075,1.1913426539999818,25.002589523000097,26.19393217700008,9299084.827731833,,,1,scalability_only
scalability_seed1_N80_M3_D5_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,5,7,10,0.5,1.0,A,soft,,,,,,1.1913426539999818,25.01937575300008,26.21071840700006,,,,0,scalability_only
scalability_seed1_N80_M3_D5_B7_K10_lo1.0_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,5,7,10,1.0,1.0,A,soft,100.0,0.0,10064.339066363384,0.0216867469879518,0.0321428571428571,1.2075390300001343,25.003250922000007,26.21078995200014,10086025.81335134,,,1,scalability_only
scalability_seed1_N80_M3_D5_B7_K10_lo1.0_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,5,7,10,1.0,1.0,A,soft,,,,,,1.2075390300001343,25.03513629500003,26.242675325000164,,,,0,scalability_only
