run_id,profile,git_sha,env_hash,timestamp,seed,method,N,M,Delta_min,B,K,lambda_out,lambda_tw,tw_family,tw_mode,on_time_pct,total_tardiness_min,total_energy,risk_mean,risk_max_route,runtime_edge_s,runtime_solve_s,runtime_total_s,incumbent_obj,best_bound,gap_pct,feasible_flag,claim_regime
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,8168.343831066015,0.5325301204819277,0.6387096774193549,1.1208935820000079,25.011805878999894,26.132699460999902,8434608.891306978,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,10,4,10,0.5,1.0,A,soft,,,,,,1.1208935820000079,25.02139251999961,26.142286101999616,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,10,4,10,1.0,1.0,A,soft,100.0,0.0,10448.7409135949,0.49638554216867464,0.9533333333333333,1.2141479599999911,25.00416892400017,26.21831688400016,10945126.455763575,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,10,4,10,1.0,1.0,A,soft,,,,,,1.2141479599999911,25.043364911000026,26.257512871000017,,,,0,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,5,4,10,0.5,1.0,A,soft,92.5,1.2123398560098964,8913.430004949012,0.36626506024096384,0.7571428571428571,1.1625083110002379,25.004675683000187,26.167183994000425,9096563.74740935,,,1,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,5,4,10,0.5,1.0,A,soft,,,,,,1.1625083110002379,25.025805047000176,26.188313358000414,,,,0,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,5,4,10,1.0,1.0,A,soft,98.75,0.07399642363180874,9962.063505852708,0.34819277108433727,0.42580645161290326,1.2938432010000724,25.003729917999863,26.297573118999935,10310256.350933468,,,1,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,5,4,10,1.0,1.0,A,soft,,,,,,1.2938432010000724,25.01985365900009,26.313696860000164,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,ortools_main,80,3,10,7,10,0.5,1.0,A,soft,100.0,0.0,9047.062735903624,0.1433734939759036,0.25757575757575757,1.3222554150001997,25.00268226399976,26.32493767899996,9118749.482891576,,,1,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,unknown,188019d3daf4,2026-02-17T15:27:10.965629+00:00,1,pyvrp_baseline,80,3,10,7,10,0.5,1.0,A,soft,,,,,,1.3222554150001997,25.02200498600041,26.34426040100061,,,,0,scalability_only
