run_id,uav_id,route_node_sequence,route_energy,route_risk_mean,route_tardiness_min,route_time_s
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,0,0->65->5->45->78->22->36->4->63->11->31->51->1->39->76->70->42->75->50->19->46->34->69->73->3->61->0,1825.3697908460301,0.41538461538461535,0.0,1778.0520083227332
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,1,0->6->40->43->16->67->10->30->66->2->14->57->24->13->7->79->9->59->32->52->47->33->15->72->64->48->0,3260.0953198898255,0.5230769230769231,0.0,2386.975817392573
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,2,0->55->53->80->27->17->41->58->68->35->25->21->20->71->56->62->54->28->74->23->44->8->37->29->18->49->12->26->38->60->77->0,3082.8787203301613,0.6387096774193549,0.0,2084.949171972836
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,0,0->67->23->26->51->17->12->44->32->13->16->80->15->11->50->42->43->45->14->25->54->21->62->18->20->24->61->6->0,11975.291393795595,0.5321428571428571,316.0059800723876,3429.0107774977273
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,1,0->40->63->49->70->10->1->19->56->69->74->27->66->35->58->31->71->30->47->72->39->37->46->28->22->57->29->4->0,12562.601330005033,0.4714285714285714,350.86290840558286,3595.4140917717696
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,2,0->59->2->8->36->3->78->5->48->60->77->64->41->65->52->38->33->68->34->76->75->53->79->73->7->9->55->0,11685.210690457818,0.525925925925926,370.87663298940714,3962.7748242196594
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,0,0->55->53->45->78->62->56->71->20->58->41->21->25->35->68->22->50->4->69->3->73->61->77->0,4111.224793080279,0.23478260869565215,0.0,1707.7837792478479
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,1,0->1->39->28->54->74->23->44->70->76->75->42->8->37->29->18->49->12->72->15->33->47->52->32->59->9->79->7->13->24->0,2821.326462509338,0.9533333333333333,0.0,2382.9753557073914
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,2,0->6->40->43->16->67->10->30->2->66->57->14->27->17->80->5->65->19->36->63->11->51->31->34->46->26->38->60->64->48->0,3516.1896580052876,0.24000000000000002,0.0,2063.319103784316
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,0,0->67->23->26->51->17->12->44->32->13->16->80->15->11->50->42->43->45->14->25->54->21->62->18->20->24->61->6->0,11975.291393795595,0.5321428571428571,316.0059800723876,3429.0107774977273
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,1,0->40->63->49->70->10->1->19->56->69->74->27->66->35->58->31->71->30->47->72->39->37->46->28->22->57->29->4->0,12562.601330005033,0.4714285714285714,350.86290840558286,3595.4140917717696
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,2,0->59->2->8->36->3->78->5->48->60->77->64->41->65->52->38->33->68->34->76->75->53->79->73->7->9->55->0,11685.210690457818,0.525925925925926,370.87663298940714,3962.7748242196594
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_ortools_main,0,0->16->69->39->36->23->60->24->31->57->25->19->6->35->70->17->77->15->32->48->34->53->3->43->75->68->64->26->2->55->9->45->0,3650.111831253647,0.034375,0.7129551141123632,2474.5289151112
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_ortools_main,1,0->40->56->76->50->8->28->65->71->78->54->52->47->38->51->66->29->10->4->59->61->21->49->5->41->80->73->20->12->27->0,3028.9285932559983,0.4466666666666666,0.15457808769275896,2298.687949499505
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_ortools_main,2,0->13->18->30->74->72->33->22->14->79->37->62->44->11->7->1->63->58->46->67->42->0,2234.389580439367,0.7571428571428571,0.3448066542047741,1409.6814732370426
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,0,0->67->23->26->51->17->12->44->32->13->16->80->15->11->50->42->43->45->14->25->54->21->62->18->20->24->61->6->0,13043.245310134876,0.24999999999999997,657.2817498762881,4306.80812368632
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,1,0->40->63->49->70->10->1->19->56->69->74->27->66->35->58->31->71->30->47->72->39->37->46->28->22->57->29->4->0,12700.823143496136,0.5464285714285715,663.8527350804222,4117.3561660199175
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,2,0->59->2->8->36->3->78->5->48->60->77->64->41->65->52->38->33->68->34->76->75->53->79->73->7->9->55->0,14004.667558958723,0.2962962962962963,600.9956553623783,4341.545051581744
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_ortools_main,0,0->18->30->74->72->33->22->14->79->37->62->44->11->1->63->57->25->19->6->35->15->32->48->34->53->3->43->75->68->64->26->2->55->9->45->0,4458.952826682339,0.38857142857142857,0.07399642363180874,2450.6291124629274
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_ortools_main,1,0->69->39->36->24->60->23->16->58->10->66->29->51->46->67->42->31->0,2158.68538319559,0.12352941176470589,0.0,1364.1329086197638
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_ortools_main,2,0->40->13->56->76->50->8->28->7->65->71->78->54->52->47->38->4->59->61->70->17->77->21->49->5->41->80->73->20->12->27->0,3344.425295974784,0.42580645161290326,0.0,2300.702823321878
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,0,0->67->23->26->51->17->12->44->32->13->16->80->15->11->50->42->43->45->14->25->54->21->62->18->20->24->61->6->0,13043.245310134876,0.24999999999999997,657.2817498762881,4306.80812368632
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,1,0->40->63->49->70->10->1->19->56->69->74->27->66->35->58->31->71->30->47->72->39->37->46->28->22->57->29->4->0,12700.823143496136,0.5464285714285715,663.8527350804222,4117.3561660199175
scalability_seed1_N80_M3_D5_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,2,0->59->2->8->36->3->78->5->48->60->77->64->41->65->52->38->33->68->34->76->75->53->79->73->7->9->55->0,14004.667558958723,0.2962962962962963,600.9956553623783,4341.545051581744
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,0,0->13->15->12->27->41->63->4->73->44->42->50->11->10->23->49->70->60->33->65->30->62->9->26->45->19->51->7->72->14->48->5->66->79->53->0,3588.8767844794193,0.09714285714285714,0.0,2546.4500495822836
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,1,0->46->20->39->17->24->38->18->37->58->8->47->67->32->71->0,1780.056416523519,0.0,0.0,1015.779927830136
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,2,0->34->75->52->25->78->80->21->56->68->40->64->31->6->3->76->69->36->2->29->57->59->35->54->43->74->28->22->77->61->1->16->55->0,3678.129534900681,0.25757575757575757,0.0,2273.892058179716
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,0,0->67->23->26->51->17->12->44->32->13->16->80->15->11->50->42->43->45->14->25->54->21->62->18->20->24->61->6->0,12427.91245671583,0.06785714285714287,379.24931036965154,3839.049619076939
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,1,0->40->63->49->70->10->1->19->56->69->74->27->66->35->58->31->71->30->47->72->39->37->46->28->22->57->29->4->0,11724.787542631522,0.06428571428571431,290.7993348146989,3355.7761472361044
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,2,0->59->2->8->36->3->78->5->48->60->77->64->41->65->52->38->33->68->34->76->75->53->79->73->7->9->55->0,12453.142709050797,0.07037037037037039,297.6273568290047,3636.568306803662
